日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,date_only,铜价,收益率,铜价涨幅,MA5,MA20,MA5_Ratio,MA20_Ratio,RSI14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Std,BB_Upper,BB_Lower
2013-01-24,601899,1.76,1.73,1.79,1.72,752079,285860416.0,3.95,-2.26,-0.04,0.48,2013-01-24,0,-0.02259887005649719,0,1.784,1.7785,-0.030269058295964157,-0.027270171492831063,45.45454545454546,0.01939958676405351,0.027044723925599493,-0.007645137161545981,1.7785,0.03801315561805218,1.8545263112361043,1.7024736887638956
2013-01-25,601899,1.72,1.73,1.76,1.71,392653,148228633.0,2.89,0.0,0.0,0.25,2013-01-25,0,0.0,0,1.764,1.7790000000000004,-0.01927437641723362,-0.02754356379988776,46.51162790697675,0.013975865944680699,0.024430952329415737,-0.010455086384735038,1.7790000000000004,0.03726152241486949,1.8535230448297393,1.7044769551702614
2013-01-28,601899,1.75,1.76,1.77,1.73,627514,237531391.0,2.31,1.73,0.03,0.4,2013-01-28,0,0.01734104046242768,0,1.752,1.7785,0.004566210045662045,-0.010402024177677771,51.1111111111111,0.011960405291956189,0.021936842921923827,-0.009976437629967638,1.7785,0.03745523644144243,1.8534104728828849,1.703589527117115
2013-01-29,601899,1.76,1.78,1.8,1.74,784915,298540448.0,3.41,1.14,0.02,0.5,2013-01-29,0,0.011363636363636465,0,1.754,1.7805,0.014823261117445918,-0.0002808199943835632,52.17391304347826,0.011840481358431854,0.019917570609225433,-0.00807708925079358,1.7805,0.03634266739971664,1.8531853347994331,1.7078146652005668
2013-01-30,601899,1.78,1.77,1.78,1.74,563017,214083806.0,2.25,-0.56,-0.01,0.36,2013-01-30,0,-0.005617977528089901,0,1.754,1.781,0.009122006841505215,-0.006176305446378372,47.72727272727273,0.01081386880244084,0.018096830247868515,-0.007282961445427675,1.781,0.036113855047031414,1.8532277100940628,1.708772289905937
2013-01-31,601899,1.79,1.83,1.86,1.78,1266061,490255472.0,4.52,3.39,0.06,0.8,2013-01-31,0,0.033898305084745894,0,1.7739999999999998,1.7830000000000001,0.03156708004509601,0.02636006730229945,60.0,0.01467263254002682,0.017411990706300177,-0.002739358166273357,1.7830000000000001,0.037710810959194006,1.8584216219183882,1.707578378081612
2013-02-01,601899,1.8,1.81,1.82,1.77,685643,262727563.0,2.73,-1.09,-0.02,0.43,2013-02-01,0,-0.010928961748633892,0,1.7899999999999998,1.7849999999999997,0.011173184357541999,0.01400560224089653,51.21951219512195,0.015933229399502702,0.017116238444940684,-0.001183009045437982,1.7849999999999997,0.038044295513187894,1.8610885910263755,1.708911408973624
2013-02-04,601899,1.84,1.83,1.86,1.77,1153982,446409232.0,4.97,1.1,0.02,0.73,2013-02-04,0,0.011049723756906049,0,1.8039999999999998,1.7884999999999998,0.014412416851441456,0.023203802068772816,50.0,0.0183347428432572,0.017359939324603987,0.0009748035186532139,1.7884999999999998,0.03883500862339183,1.8661700172467834,1.710829982753216
2013-02-05,601899,1.81,1.87,1.89,1.81,1100765,429322288.0,4.37,2.19,0.04,0.7,2013-02-05,0,0.021857923497267784,0,1.8219999999999998,1.7945,0.02634467618002212,0.04207300083588761,50.0,0.023198210722628954,0.01852759360420898,0.004670617118419974,1.7945,0.041735381935536754,1.8779707638710734,1.7110292361289265
2013-02-06,601899,1.86,1.83,1.88,1.83,605685,235787420.0,2.67,-2.14,-0.04,0.38,2013-02-06,0,-0.021390374331550777,0,1.8340000000000003,1.798,-0.0021810250817885235,0.017797552836485098,54.054054054054056,0.02355336976518374,0.019532748836403935,0.004020620928779806,1.798,0.041624891339068715,1.8812497826781374,1.7147502173218627
2013-02-07,601899,1.84,1.86,1.87,1.81,701909,272944528.0,3.28,1.64,0.03,0.44,2013-02-07,0,0.016393442622950838,0,1.8400000000000003,1.8015,0.01086956521739113,0.032472939217318864,54.054054054054056,0.025956376197211695,0.020817474308565488,0.0051389018886462065,1.8015,0.04380278770316068,1.8891055754063215,1.7138944245936787
2013-02-08,601899,1.85,1.87,1.87,1.83,590033,229810643.0,2.15,0.54,0.01,0.37,2013-02-08,0,0.005376344086021501,0,1.8519999999999999,1.8080000000000003,0.009719222462203136,0.03429203539822989,56.75675675675676,0.028340995183020246,0.02232217848345644,0.006018816699563806,1.8080000000000003,0.043841820938455914,1.895683641876912,1.7203163581230885
2013-02-18,601899,1.82,1.77,1.82,1.76,1311775,501520512.0,3.21,-5.35,-0.1,0.83,2013-02-18,0,-0.053475935828877,0,1.8400000000000003,1.8065000000000002,-0.038043478260869734,-0.020204815942430177,50.0,0.021909104129929968,0.022239563612751145,-0.0003304594828211771,1.8065000000000002,0.04463595435402266,1.8957719087080456,1.7172280912919549
2013-02-19,601899,1.77,1.74,1.78,1.72,778693,294791648.0,3.39,-1.69,-0.03,0.49,2013-02-19,0,-0.016949152542372947,0,1.814,1.802,-0.040793825799338546,-0.03440621531631527,46.666666666666664,0.014227034454375787,0.020637057781076076,-0.006410023326700289,1.802,0.04663407383177138,1.895268147663543,1.7087318523364572
2013-02-20,601899,1.72,1.75,1.76,1.72,474577,179715930.0,2.3,0.57,0.01,0.3,2013-02-20,0,0.005747126436781658,0,1.798,1.796,-0.026696329254727535,-0.025612472160356337,52.38095238095238,0.008843908247552656,0.01827842787437139,-0.009434519626818735,1.796,0.04511972377714822,1.8862394475542965,1.7057605524457036
2013-02-21,601899,1.71,1.64,1.72,1.63,961470,356178544.0,5.14,-6.29,-0.11,0.61,2013-02-21,0,-0.06285714285714294,0,1.754,1.7880000000000003,-0.06499429874572415,-0.08277404921700238,41.509433962264154,-0.004249354828990359,0.013772871333699041,-0.0180222261626894,1.7880000000000003,0.05699492128842415,1.9019898425768487,1.6740101574231518
